text,emoji
"""Dressing for success in big business leads to growth and opportunity.""","[':necktie:', ':chart_increasing:']"
The big business is making a lot of money!,"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']"
A businessman collaborates with a tech expert to drive growth in the corporate world.,"[':man_technologist:', ':handshake:']"
The office building is bustling with teamwork among employees.,"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']"
The savvy businesswoman is making a fortune in the tech industry.,"[':woman_technologist:', ':money-mouth_face:']"
"""Investing in big business leads to financial growth.""","[':money_bag:', ':chart_increasing:']"
Big businesses are analyzing global market trends.,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']"
"""Partnership agreements are crucial for success in big business.""","[':handshake:', ':tear-off_calendar:']"
The rising expenses are leading to significant financial outflows.,"[':chart_increasing:', ':money_with_wings:']"
"After splurging on a delicious paella and multiple burritos, I found myself feeling excited about the tasty feast but also worried about my spending!","[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']"
A tech worker is facing a significant financial outlay.,"[':man_technologist:', ':money_with_wings:']"
"""Money is flying away due to a significant expense.""","[':money_with_wings:', ':money_with_wings:']"
"""Spending a lot of money can feel exciting but also overwhelming!""","[':money-mouth_face:', ':money_with_wings:']"
The rising expenses are leading to significant financial outflows.,"[':chart_increasing:', ':money_with_wings:']"
"""Making a big expenditure feels like an elephant-sized financial burden.""","[':elephant:', ':dollar_banknote:', ':money_with_wings:']"
"""I'm ready to spend a lot of money!""","[':money-mouth_face:', ':money_with_wings:']"
"""Use your big voice to speak up and share your message with the world!""","[':loudspeaker:', ':speaking_head:']"
"""Make sure everyone hears you loud and clear!""","[':loudspeaker:', ':megaphone:']"
"""Turn up the volume, let your big voice be heard!""",[':speaker_high_volume:']
"""Speak loudly and make your voice heard!""","[':speaking_head:', ':loudspeaker:']"
"""Speaking loudly and passionately.""","[':speaking_head:', ':anger_symbol:']"
"""With a powerful voice, she spoke confidently into the microphone.""","[':studio_microphone:', ':speaking_head:']"
"""He's shouting angrily to make sure everyone hears him.""","[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']"
"""Speak loudly and assertively to make your point heard!""","[':speaking_head:', ':anger_symbol:']"
A diverse group of friends gathered together.,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']"
A large group of fathers and their sons are spending time together.,"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']"
