EN,EM,Description,Composition strategy,Attribute,generated_sentence
big business,👔📈,"[':necktie:', ':chart_increasing:']",Metaphorical,SIZE,"""Dressing for success in big business leads to growth and opportunity."""
big business,🏢🤑🤑,"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,SIZE,The big business is making a lot of money!
big business,👨‍💻🤝,"[':man_technologist:', ':handshake:']",Metaphorical,SIZE,A businessman collaborates with a tech expert to drive growth in the corporate world.
big business,🏢🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Metaphorical,SIZE,The office building is bustling with teamwork among employees.
big business,👩‍💻🤑,"[':woman_technologist:', ':money-mouth_face:']",Metaphorical,SIZE,The savvy businesswoman is making a fortune in the tech industry.
big business,💰📈,"[':money_bag:', ':chart_increasing:']",Metaphorical,SIZE,"""Investing in big business leads to financial growth."""
big business,🏢🏢🏢📊🌍,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",Metaphorical,SIZE,Big businesses are analyzing global market trends.
big business,🤝📆,"[':handshake:', ':tear-off_calendar:']",Metaphorical,SIZE,"""Partnership agreements are crucial for success in big business."""
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE,The rising expenses are leading to significant financial outflows.
big expenditure,🥘🌯🌯🤑🤑💸💸,"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",Metaphorical,SIZE,"After splurging on a delicious paella and multiple burritos, I found myself feeling excited about the tasty feast but also worried about my spending!"
big expenditure,👨‍💻💸,"[':man_technologist:', ':money_with_wings:']",Metaphorical,SIZE,A tech worker is facing a significant financial outlay.
big expenditure,💸💸,"[':money_with_wings:', ':money_with_wings:']",Reduplication,SIZE,"""Money is flying away due to a significant expense."""
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE,"""Spending a lot of money can feel exciting but also overwhelming!"""
big expenditure,📈💸,"[':chart_increasing:', ':money_with_wings:']",Direct,SIZE,The rising expenses are leading to significant financial outflows.
big expenditure,🐘💵💸,"[':elephant:', ':dollar_banknote:', ':money_with_wings:']",Direct,SIZE,"""Making a big expenditure feels like an elephant-sized financial burden."""
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE,"""I'm ready to spend a lot of money!"""
big voice,📢🗣️,"[':loudspeaker:', ':speaking_head:']",Metaphorical,VOLUME,"""Use your big voice to speak up and share your message with the world!"""
big voice,📢📣,"[':loudspeaker:', ':megaphone:']",Semantic list,VOLUME,"""Make sure everyone hears you loud and clear!"""
big voice,🔊,[':speaker_high_volume:'],Single,VOLUME,"""Turn up the volume, let your big voice be heard!"""
big voice,🗣📢,"[':speaking_head:', ':loudspeaker:']",Metaphorical,VOLUME,"""Speak loudly and make your voice heard!"""
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME,"""Speaking loudly and passionately."""
big voice,🎙🗣,"[':studio_microphone:', ':speaking_head:']",Metaphorical,VOLUME,"""With a powerful voice, she spoke confidently into the microphone."""
big voice,🤬🤬,"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",Reduplication,VOLUME,"""He's shouting angrily to make sure everyone hears him."""
big voice,🗣️💢,"[':speaking_head:', ':anger_symbol:']",Metaphorical,VOLUME,"""Speak loudly and assertively to make your point heard!"""
big group,🧑‍🤝‍🧑👫👭👬,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE,A diverse group of friends gathered together.
big group,👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦,"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']",Reduplication,SIZE,A large group of fathers and their sons are spending time together.
big group,👬👬👬👬👬👬👬👬👬👬👬,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",Reduplication,SIZE,A large group of friends is hanging out together.
big group,👥👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE,A large group of people gathered together.
big group,👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧,"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']",Semantic list,SIZE,A big group of friends and families enjoying time together.
big group,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,SIZE,A large group of people gathered together.
big group,👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦,"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']",Reduplication,SIZE,A large family gathering includes multiple parents and their children.
big group,🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Reduplication,SIZE,The big group of friends is enjoying their time together.
big man,🧔‍♂️😲⬆️,"[':man_beard:', ':astonished_face:', ':up_arrow:']",Metaphorical,CONSPICUOUSNESS,The big man was surprised to see something amazing above him.
big man,🎅,[':Santa_Claus:'],Single,CONSPICUOUSNESS,The big man in red is coming to town!
big man,🧑‍🦱,[':person_curly_hair:'],Single,CONSPICUOUSNESS,The tall man with curly hair walked confidently into the room.
big man,🧍‍♂️💪,"[':man_standing:', ':flexed_biceps:']",Metaphorical,CONSPICUOUSNESS,"The big man stands confidently, showcasing his strength."
big man,💪🧔‍♂️,"[':flexed_biceps:', ':man_beard:']",Metaphorical,CONSPICUOUSNESS,"The strong man stands confidently, showcasing his power and presence."
big man,👱‍♂️↔️↕️,"[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']",Metaphorical,CONSPICUOUSNESS,"""The tall man stands confidently, showcasing his impressive height."""
big man,🦸🦸‍♂️,"[':superhero:', ':man_superhero:']",Metaphorical,CONSPICUOUSNESS,"""Two superheroes, a strong man and a powerful woman, stand ready to save the day."""
big man,💪🧍‍♂️,"[':flexed_biceps:', ':man_standing:']",Metaphorical,CONSPICUOUSNESS,The strong man stands tall and proud.
big city,🌇❗,"[':sunset:', ':red_exclamation_mark:']",Metaphorical,SIZE,The vibrant sunset over the bustling big city is truly breathtaking!
big city,🌇🌁🌆🏙🌃🗽,"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",Semantic list,SIZE,"The vibrant skyline of a big city comes alive at sunset, showcasing iconic landmarks and bustling urban life."
big city,🇷🇺,[':Russia:'],Single,SIZE,The bustling streets of Moscow are filled with vibrant culture and history.
big city,🏙,[':cityscape:'],Single,SIZE,The bustling big city is filled with towering skyscrapers and vibrant street life.
big city,🌆🤯,"[':cityscape_at_dusk:', ':exploding_head:']",Metaphorical,SIZE,The vibrant lights and bustling atmosphere of the big city left me completely amazed.
big city,🏙↕️↔️,"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']",Metaphorical,SIZE,The big city is filled with towering skyscrapers and bustling streets in every direction.
big city,🌃🌃🌃🌃🌃,"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']",Reduplication,SIZE,"The city skyline sparkled brightly under the night sky, showcasing the vibrant energy of urban life."
big city,🌇🏙️,"[':sunset:', ':cityscape:']",Semantic list,SIZE,The skyline of the big city is breathtaking at sunset.
big tipper,🧔‍♂️💰,"[':man_beard:', ':money_bag:']",Metaphorical,GENEROSITY,The generous man always leaves a big tip.
big tipper,🥞💸,"[':pancakes:', ':money_with_wings:']",Metaphorical,GENEROSITY,"""Generous with my tips, especially when enjoying pancakes!"""
big tipper,💴💴💆‍♂️💇‍♂️,"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']",Metaphorical,GENEROSITY,A generous customer generously tips after getting a haircut.
big tipper,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY,"""Generously rewarding exceptional service with a big tip!"""
big tipper,🤑👨‍🦰💰,"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']",Metaphorical,GENEROSITY,"""An excited man with money is known for being a big tipper."""
big tipper,💵💵,"[':dollar_banknote:', ':dollar_banknote:']",Reduplication,GENEROSITY,"""He's known for being a big tipper, always leaving generous amounts of cash."""
big tipper,💸💸💸,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Reduplication,GENEROSITY,The generous customer left a huge tip!
big tipper,👍💸,"[':thumbs_up:', ':money_with_wings:']",Metaphorical,GENEROSITY,"""That person is a generous big tipper!"""
big day,❗📆,"[':red_exclamation_mark:', ':tear-off_calendar:']",Direct,IMPORTANCE,"""Get ready for the big day!"""
big day,👰💒🤵‍♂,"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']",Metaphorical,IMPORTANCE,The bride and groom are celebrating their big day at the wedding venue.
big day,👩‍❤️‍👨👰,"[':couple_with_heart_woman_man:', ':person_with_veil:']",Metaphorical,IMPORTANCE,A couple is getting married on their big day.
big day,😰☀️,"[':anxious_face_with_sweat:', ':sun:']",Metaphorical,IMPORTANCE,Feeling anxious about the big day ahead in the scorching sun.
big day,👰‍♂️👰‍♀️🤵‍♂️🤵‍♀️,"[':man_with_veil:', ':woman_with_veil:', ':man_in_tuxedo:', ':woman_in_tuxedo:']",Metaphorical,IMPORTANCE,"The big day has arrived, celebrating love and unity with beautiful couples."
big day,🥇☀️,"[':1st_place_medal:', ':sun:']",Metaphorical,IMPORTANCE,"""Today is a big day, shining bright like a gold medal!"""
big day,😵😵😵,"[':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:', ':face_with_crossed-out_eyes:']",Metaphorical,IMPORTANCE,"""Today is such a big day that it's leaving me feeling overwhelmed!"""
big day,🗓️,[':spiral_calendar:'],Single,IMPORTANCE,"""Mark your calendars for the big day!"""
hot doll,🥵👧,"[':hot_face:', ':girl:']",Direct,POPULARITY,The hot doll is feeling the heat.
hot doll,🪆🔥🔥,"[':nesting_dolls:', ':fire:', ':fire:']",Direct,POPULARITY,The hot doll is on fire!
hot doll,💅👱‍♀️,"[':nail_polish:', ':woman_blond_hair:']",Metaphorical,POPULARITY,The glamorous blonde doll is ready to show off her perfect manicure.
hot doll,🔥🪆,"[':fire:', ':nesting_dolls:']",Direct,POPULARITY,The hot doll is on fire!
hot doll,1️⃣🪆🎎,"[':keycap_1:', ':nesting_dolls:', ':Japanese_dolls:']",Metaphorical,POPULARITY,The hot doll collection features a unique set of nesting dolls that are both vibrant and stylish.
hot doll,🔥🧸,"[':fire:', ':teddy_bear:']",Direct,POPULARITY,The hot doll is all the rage right now!
hot doll,♨️🪆,"[':hot_springs:', ':nesting_dolls:']",Direct,POPULARITY,The hot doll is steaming with excitement!
hot doll,🥵🧸,"[':hot_face:', ':teddy_bear:']",Direct,POPULARITY,The stuffed bear is feeling really hot.
hot water,♨️💦,"[':hot_springs:', ':sweat_droplets:']",Direct,TEMPERATURE,The hot water is steaming and ready for use.
hot water,🥵🚰,"[':hot_face:', ':potable_water:']",Direct,TEMPERATURE,"""It's so hot that I need to drink some water!"""
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE,The hot water is steaming as it bubbles in the pot.
hot water,🔥💦,"[':fire:', ':sweat_droplets:']",Direct,TEMPERATURE,The hot water is steaming and bubbling.
hot water,♨️💧🚰,"[':hot_springs:', ':droplet:', ':potable_water:']",Direct,TEMPERATURE,"""Boiling water for a refreshing drink."""
hot water,♨️🚰,"[':hot_springs:', ':potable_water:']",Direct,TEMPERATURE,"""Boil some water for a warm drink."""
hot water,♨️💧,"[':hot_springs:', ':droplet:']",Direct,TEMPERATURE,The hot water is bubbling and steaming.
hot water,📛💦,"[':name_badge:', ':sweat_droplets:']",Direct,TEMPERATURE,"""Be careful, the hot water can cause burns!"""
hot stove,🌡️♨️🍳,"[':thermometer:', ':hot_springs:', ':cooking:']",Direct,TEMPERATURE,The hot stove is sizzling as the pan heats up for cooking.
hot stove,♨️🍳,"[':hot_springs:', ':cooking:']",Direct,TEMPERATURE,The hot stove is ready for cooking eggs.
hot stove,♨️🎛🔥,"[':hot_springs:', ':control_knobs:', ':fire:']",Direct,TEMPERATURE,The hot stove is ready to cook with flames dancing on the burners.
hot stove,🔥🍳,"[':fire:', ':cooking:']",Direct,TEMPERATURE,"""There's a sizzling hot pan on the stove."""
hot stove,🥵🍳🔥,"[':hot_face:', ':cooking:', ':fire:']",Direct,TEMPERATURE,"""Be careful, the stove is really hot!"""
hot stove,♨️🔥,"[':hot_springs:', ':fire:']",Direct,TEMPERATURE,The hot stove is ready for cooking with its flames blazing.
hot stove,🔥♨️,"[':fire:', ':hot_springs:']",Direct,TEMPERATURE,The hot stove is radiating intense heat.
hot stove,📛🌡️🫕,"[':name_badge:', ':thermometer:', ':fondue:']",Direct,TEMPERATURE,"""Be careful, the hot stove is on!"""
hot topic,🔥🔊🗣️🗣️🤔🤔👍👎,"[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,EMOTIONALITY,"The discussion about the hot topic is heating up, with loud opinions being expressed, leaving everyone pondering whether they agree or disagree."
hot topic,🤩💬,"[':star-struck:', ':speech_balloon:']",Metaphorical,EMOTIONALITY,"""Everyone is buzzing about this hot topic!"""
hot topic,☀️🎙🗣,"[':sun:', ':studio_microphone:', ':speaking_head:']",Direct,EMOTIONALITY,"""Let's discuss the hot topic under the sun."""
hot topic,🔥🔥🔥🔥📰,"[':fire:', ':fire:', ':fire:', ':fire:', ':newspaper:']",Direct,EMOTIONALITY,"""There's a hot topic in the news right now!"""
hot topic,🔥💬,"[':fire:', ':speech_balloon:']",Direct,EMOTIONALITY,"""Everyone is talking about this hot topic!"""
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY,"""The discussion around this issue is heating up as it's become a hot topic."""
hot topic,🔥🗣️,"[':fire:', ':speaking_head:']",Direct,EMOTIONALITY,The discussion about this issue is really heating up.
hot topic,🥵💬,"[':hot_face:', ':speech_balloon:']",Direct,EMOTIONALITY,The discussion about climate change is a hot topic right now.
hot merchandise,🔥👀✋🤚🙏🥺💰,"[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']",Metaphorical,LEGALITY,"""Check out this hot merchandise that's catching everyone's attention and is in high demand!"""
hot merchandise,🔥🔥👕🥿🕶️,"[':fire:', ':fire:', ':t-shirt:', ':flat_shoe:', ':sunglasses:']",Direct,LEGALITY,"""Check out our hot merchandise featuring stylish t-shirts, trendy shoes, and cool sunglasses!"""
hot merchandise,🔥🎁🎁,"[':fire:', ':wrapped_gift:', ':wrapped_gift:']",Direct,LEGALITY,"""Check out our hot new merchandise!"""
hot merchandise,🔥🏷,"[':fire:', ':label:']",Direct,LEGALITY,"""Check out our hot merchandise that everyone is talking about!"""
hot merchandise,🔥🛍️🧸👕👗✏️📔,"[':fire:', ':shopping_bags:', ':teddy_bear:', ':t-shirt:', ':dress:', ':pencil:', ':notebook_with_decorative_cover:']",Direct,LEGALITY,"""Check out the hottest merchandise, including trendy clothes, adorable teddy bears, and stylish accessories!"""
hot merchandise,🔥📱,"[':fire:', ':mobile_phone:']",Direct,LEGALITY,"""Check out the hottest new smartphone on the market!"""
hot merchandise,🗨️👕,"[':left_speech_bubble:', ':t-shirt:']",Metaphorical,LEGALITY,"""Check out our hot merchandise featuring trendy t-shirts!"""
hot merchandise,👍🧸👕,"[':thumbs_up:', ':teddy_bear:', ':t-shirt:']",Direct,LEGALITY,"""Check out our hot merchandise featuring trendy t-shirts with cute teddy bear designs!"""
hot temper,"🔥,😐😡","[':fire:', ',', ':neutral_face:', ':pouting_face:']",Direct,EMOTIONALITY,"The intense heat of my anger is rising, leaving me feeling both indifferent and furious."
hot temper,😤🤬🙅‍♂️🙅‍♂️,"[':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:', ':man_gesturing_NO:', ':man_gesturing_NO:']",Metaphorical,EMOTIONALITY,"Feeling frustrated and angry, I just can't take it anymore!"
hot temper,😡😡,"[':pouting_face:', ':pouting_face:']",Reduplication,EMOTIONALITY,"""His hot temper flared up as he faced yet another frustrating situation."""
hot temper,😡😤🤬,"[':pouting_face:', ':face_with_steam_from_nose:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY,She was so frustrated and angry that her hot temper was about to explode.
hot temper,😡😤,"[':pouting_face:', ':face_with_steam_from_nose:']",Semantic list,EMOTIONALITY,The person is feeling very angry and frustrated.
hot temper,🔥😡,"[':fire:', ':pouting_face:']",Direct,EMOTIONALITY,She has a hot temper and can get fired up easily.
hot temper,💢🤬,"[':anger_symbol:', ':face_with_symbols_on_mouth:']",Metaphorical,EMOTIONALITY,"""Feeling extremely frustrated and angry."""
hot temper,😡🤬,"[':pouting_face:', ':face_with_symbols_on_mouth:']",Semantic list,EMOTIONALITY,"When someone has a hot temper, they can easily become furious and express their anger loudly."
hot argument,🔥🗣️✖️🗣️✔️📢,"[':fire:', ':speaking_head:', ':multiply:', ':speaking_head:', ':check_mark:', ':loudspeaker:']",Direct,EMOTIONALITY,"""There's a heated debate going on, with people passionately expressing their differing opinions."""
hot argument,🙅🙅‍♂️😤🗯️,"[':person_gesturing_NO:', ':man_gesturing_NO:', ':face_with_steam_from_nose:', ':right_anger_bubble:']",Metaphorical,EMOTIONALITY,"""Both sides are firmly rejecting each other's points in a heated argument."""
hot argument,😡🤬🗣,"[':pouting_face:', ':face_with_symbols_on_mouth:', ':speaking_head:']",Direct,EMOTIONALITY,The heated argument escalated as both sides expressed their anger and frustration loudly.
hot argument,🤬🗣📣,"[':face_with_symbols_on_mouth:', ':speaking_head:', ':megaphone:']",Direct,EMOTIONALITY,The heated argument escalated as voices were raised and strong words were exchanged.
hot argument,🤬💬😡,"[':face_with_symbols_on_mouth:', ':speech_balloon:', ':pouting_face:']",Direct,EMOTIONALITY,"The heated argument escalated as they exchanged furious words, both clearly infuriated."
