text,emoji
A businessman collaborates with a tech expert to drive growth in the corporate world.,👨‍💻🤝
The office building is bustling with teamwork among employees.,🏢🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑
The savvy businesswoman is making a fortune in the tech industry.,👩‍💻🤑
A tech worker is facing a significant financial outlay.,👨‍💻💸
A diverse group of friends gathered together.,🧑‍🤝‍🧑👫👭👬
A large group of fathers and their sons are spending time together.,👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦👨‍👦
A big group of friends and families enjoying time together.,👫👭👨‍👨‍👧‍👧👬👨‍👨‍👧
A large family gathering includes multiple parents and their children.,👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦👩‍👩‍👦‍👦
The big group of friends is enjoying their time together.,🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑
The tall man with curly hair walked confidently into the room.,🧑‍🦱
"""The tall man stands confidently, showcasing his impressive height.""",👱‍♂️↔️↕️
"""An excited man with money is known for being a big tipper.""",🤑👨‍🦰💰
A couple is getting married on their big day.,👩‍❤️‍👨👰
The hot doll is feeling the heat.,🥵👧
The glamorous blonde doll is ready to show off her perfect manicure.,💅👱‍♀️
"Feeling frustrated and angry, I just can't take it anymore!",😤🤬🙅‍♂️🙅‍♂️
"""Both sides are firmly rejecting each other's points in a heated argument.""",🙅🙅‍♂️😤🗯️
"""I have a hot forehead and I'm feeling unwell, so I need to see a doctor.""",🥴🤒👨‍⚕️
"""With our cool scientists, doctors, and tech experts, we are shaping a bright future!""",😎👨‍🔬👩‍⚕️🧑‍💻
"""With dedicated scientists, educated students, and skilled healthcare professionals, we are building a bright future for all.""",👨‍🔬👩‍🎓👨‍⚕️
"""Are you unsure about my dark intentions?""",😈❓🤷‍♀️
"""She is pointing to the right side.""",➡️💁‍♀️
"""Move to the right side to join the group.""",➡️🧑‍🤝‍🧑👈
"""Making the right decision brings clarity and confidence.""",✔️💡👩👍
The woman raised her hand to indicate that she has the correct answer.,🙋‍♀️👍✅
"""The right man has been chosen.""",✔️👨
"""The right man is someone who truly loves you.""",✔️👨💕
The right man is here.,➡️👨👌
The right man gives a thumbs up.,👍👨
The woman is in love with the right man.,👩😍👨✔️
The right man brings love and happiness to a family.,👩‍❤️‍💋‍👨👨‍👩‍👦‍👦
A woman with short red hair is wearing swim trunks.,🩳👩🏻‍🦰
The woman got a haircut and now has short red hair.,💇‍♀️➡️👩‍🦰
Three friends with short hair styles are enjoying their time together.,👩‍🦰👩‍🦱🧑‍🦱
A man and a woman with short hair.,👨‍🦱👩‍🦱
"Time is fleeting for the elderly woman and man, reminding us of the brevity of life.",⏳🕐👩‍🦳🧓
"A family of four experiences a tragic loss, reminding us that life can be unexpectedly short.",👨‍👩‍👧‍👧👉💀👨‍👩‍👧
A baby grows old quickly and faces the inevitability of death.,👶🧓⚰️⌛🤏
"""These are just ordinary kids.""",👧🧒👦
"""Average people come together and support one another, regardless of their differences.""",🧑‍🤝‍🧑👭👬🙆‍♀️
The average person often feels confused about various aspects of life.,😕👨
"A diverse group of average people includes men, women, and children.",👨🧑👩👧
"""Everyday individuals, representing the average person.""",🙎‍♂️🙎‍♀️
"""Average people often find themselves unsure about various situations.""",👨🧑🤷
"""She achieved average merit by winning two trophies.""",🏆🏆🙆‍♀️
"""He's a typical guy, just like everyone else.""",🙆‍♂️🙆
"""Cleaning up the mess in the bathroom could lead to a surprising reward for the elderly couple.""",🪠🚽🧹💰👵👴
A dirty fighter uses underhanded tactics to gain an unfair advantage in a competition.,❌⚖️ 💪👨‍🦲💢
The common procedure involves a group of healthcare professionals administering vaccinations to patients.,👥💉🩺🩹🩸🧑‍⚕️👥
The common procedure involves a healthcare professional administering a vaccine.,🔄🧑‍⚕️💉
"""Please stop bothering me; I'm not interested in what you're offering.""",🤲🙅‍♂️
"""I'm really frustrated with this common nuisance.""",😒💢🙍‍♂️
A common sailor navigates the seas on his sailboat.,⛵️👨🏻⚓️
A common sailor is often seen working alongside his crew on a boat.,👥👱‍♂️⛵️
A common sailor welcomes the boat with open hands.,🤲⛵👨
A young boy dreams of becoming a common sailor and navigating the open waters in his speedboat.,🚤👦
"A common sailor works diligently on a ship, navigating the seas and ensuring safe passage.",👨‍✈️⚓
A common sailor navigates a speedboat across the water.,🧑‍✈️🚤
"A common man goes about his daily life, embodying the experiences and struggles of everyday people.",👨🏻
Three boys representing the common man.,▶️👦👦👦
A common man extends his hands in gesture of openness and generosity.,🤲👨
A common man strives to make a living and support his family.,👨
The common man is often represented by everyday individuals working together and supporting one another.,👨👨👨👨
"The common man is represented by a diverse group of individuals, showcasing different hairstyles and backgrounds.",👨🧑‍🦱👨‍🦱
A businesswoman is discussing important matters in a meeting.,👩‍💼🗣💼
"""Well done, kid!""",👏👦🧑‍🦱
The auditorium is completely full with an audience of diverse individuals.,🎫🧑👨🧑‍🦱👩‍🦱🈵
