text,emoji
"""He's shouting angrily to make sure everyone hears him.""",🤬🤬
"""Check out our hot new merchandise!""",🔥🎁🎁
"The intense heat of my anger is rising, leaving me feeling both indifferent and furious.","🔥,😐😡"
"Feeling frustrated and angry, I just can't take it anymore!",😤🤬🙅‍♂️🙅‍♂️
"""His hot temper flared up as he faced yet another frustrating situation.""",😡😡
She was so frustrated and angry that her hot temper was about to explode.,😡😤🤬
The person is feeling very angry and frustrated.,😡😤
She has a hot temper and can get fired up easily.,🔥😡
"""Feeling extremely frustrated and angry.""",💢🤬
"When someone has a hot temper, they can easily become furious and express their anger loudly.",😡🤬
The heated argument escalated as both sides expressed their anger and frustration loudly.,😡🤬🗣
The heated argument escalated as voices were raised and strong words were exchanged.,🤬🗣📣
"The heated argument escalated as they exchanged furious words, both clearly infuriated.",🤬💬😡
"The heated argument escalated quickly, leaving everyone frustrated and angry.",🔥🤬
The heated argument led to a lot of foul language being exchanged.,🤬💬
"""The dark glass reflected a sinister aura, as if something wicked lurked behind it.""",👿
"The presence of a dark undercurrent instills fear and dread, leaving everyone feeling uneasy and terrified.",👿😱😨
The dark undercurrent of evil intentions lurks beneath the surface.,♠️👿
"""With a sinister grin, he donned his sunglasses, ready to embrace his dark purpose.""",🕶️👿
"With a mischievous grin, they plotted their dark purpose, reveling in the chaos they intended to unleash.",👿👹👺😏
"""Embracing a dark purpose, the mischievous spirit revels in chaos and mischief.""",👿😈
"""There's a warning about a short supply of bread!""",‼️⚠️🍞
The average size is represented by a balance between different measurements.,〰️⚖️
"""Working as a construction worker can sometimes be a really gross job.""",🤮🤢👷‍♂️
"""Packing my suitcase for a dirty job that’s bound to make me feel queasy.""",🤢🧳
"""That foot is so dirty, it makes me feel nauseous!""",🤢🦶
The thought of a dirty foot makes me feel nauseous.,🤮🦶
The smell of that dirty foot made me feel nauseous.,👃🦶🤢
"""That dirty dish made me feel nauseous!""",🤮🍽
The dirty dish made me feel nauseous.,🤮🍽
The filthy conditions of the slum make anyone feel nauseous.,🤮🛖
Doing the dirty work can sometimes feel disgusting and unpleasant.,🤮🛠
The sight of dirty money makes me feel nauseous.,🤮💵
This situation is really disgusting and makes me feel nauseous.,🤢🤮😒
The outfit looks so dirty that it makes me want to vomit.,🤮👗👚
The man feels nauseous because his overall is dirty.,🧍‍♂️🤢
